46,0,0.059999999,10.1,0.001
47,0,0.129999995,10.1,0.001
47,0,0.270000011,10.1,0.001
47,0,0.230000004,10.1,0.001
47,0,0.289999992,10.1,0.001
47,0,0.460000008,10.1,0.001
47,0,0.529999971,10.1,0.001
47,0,0.74000001,10.1,0.001
47,0,0.74000001,10.1,0.001
47,0,0.639999986,10.1,0.001
47,0,0.620000005,8.5,0.19
48,0,0.720000029,8.4,0.19
47,0,0.5,8.4,0.19
48,0,0.529999971,8.2,0.19
48,0,0.400000006,8.4,0.19
48,0,0.560000002,8.1,0.19
48,0,0.519999981,8.1,0.19
48,0,0.379999995,8.1,0.19
48,0,0.189999998,8.2,0.19
48,0,0.360000014,8.3,0.19
48,0,0.159999996,8.4,0.19
48,0,0.200000003,10.1,0.001
48,0,0.180000007,10.1,0.001
48,0,0.25999999,10.1,0.001
48,0,0.129999995,10.1,0.001
48,0,0.100000001,10.1,0.001
48,0,0.25,10.1,0.001
48,0,0.200000003,10.1,0.001
48,0,0.189999998,10.1,0.001
48,0,0.01,10.1,0.001
48,0,0.129999995,10.1,0.001
49,0,0.310000002,8.4,0.04
49,0,0.370000005,8.9,0.04
49,0,0.349999994,9.3,0.03
48,0,0,9.9,0.03
48,0,-0.200000003,7.7,0.02
48,0,-0.170000002,7.9,0.02
49,0,-0.170000002,8.1,0.02
49,0,0,8.3,0.02
49,0,-0.209999993,8.4,0.02
48,0,0,8.8,0.02
48,0,-0.289999992,9.2,0.02
48,0,-0.090000004,9.4,0.02
48,0,-0.300000012,9.5,0.02
48,0,-0.180000007,9.6,0.02
48,0,-0.670000017,9.7,0.02
48,0,-0.870000005,9.8,0.02
48,0,-0.889999986,9.8,0.02
48,0,-0.699999988,9.8,0.02
48,0,-0.680000007,9.8,0.02
47,0,-0.730000019,9.7,0.02
47,0,-0.709999979,9.6,0.02
47,0,-0.689999998,9.6,0.02
47,0,-0.680000007,9.5,0.02
47,0,-0.779999971,9.4,0.02
47,0,-0.75,10.1,0.001
47,0,-0.649999976,10.1,0.001
47,0,-0.670000017,10.1,0.001
47,0,-0.699999988,10.1,0.001
47,0,-0.660000026,10.1,0.001
47,0,-0.680000007,10.1,0.001
46,0,-0.670000017,10.1,0.001
46,0,-0.629999995,10.1,0.001
46,0,-0.629999995,10.1,0.001
46,0,-0.670000017,10.1,0.001
46,0.600000024,-0.660000026,8.7,0.04
46,1.299999952,-0.720000029,9.4,0.03
46,0.600000024,-0.75999999,8.2,0.02
45,0.699999988,-0.850000024,8.1,0.02
45,0.699999988,-0.889999986,8.3,0.02
45,0.699999988,-0.879999995,8.5,0.02
45,0.699999988,-0.910000026,10.1,0.001
45,0.699999988,-0.939999998,10.1,0.001
45,0.699999988,-1.080000043,10.1,0.001
44,0.800000012,-1.080000043,10.1,0.001
44,0.699999988,-1.110000014,10.1,0.001
44,0.699999988,-1.190000057,10.1,0.001
44,0.699999988,-1.169999957,10.1,0.001
44,0.699999988,-1.159999967,10.1,0.001
43,0.699999988,-1.179999948,10.1,0.001
43,0.699999988,-1.200000048,10.1,0.001
43,0.699999988,-1.220000029,7.3,0.04
43,0.699999988,-1.299999952,7.8,0.05
43,0.699999988,-1.179999948,7.5,0.05
42,0.699999988,-1.230000019,7.4,0.06
42,0.699999988,-1.299999952,7.2,0.06
42,0.699999988,-1.230000019,10.1,0.001
42,0.699999988,-1.25,10.1,0.001
41,0.699999988,-1.25,10.1,0.001
41,0.699999988,-1.24000001,10.1,0.001
41,0.699999988,-1.25,10.1,0.001
41,0.699999988,-1.24000001,10.1,0.001
41,0.699999988,-1.340000033,10.1,0.001
40,0.699999988,-1.220000029,10.1,0.001
40,0.699999988,-1.25999999,10.1,0.001
40,0.699999988,-1.24000001,10.1,0.001
